city,time,title,km,排量,变速箱,origin_price,price,rule,过户次数,kg,气缸数,最大马力,oil_num
长沙,2016,奇瑞,8.57,1.5,手动,7.59,3.38,国5,0,1265,4缸,116,92
哈尔,2015,大众CC,6.09,1.8,自动,29.18,14.7,国5,2,1540,4缸,160,95
大连,2012,宝马X3,14.93,2,自动,52.86,17.18,国4,2,1845,4缸,184,95
洛阳,2013,福特,4.49,1.5,自动,13.87,7.05,国5,0,1295,4缸,110,92
长沙,2015,大众,10.17,1,自动,12.48,4.08,国4,2,750,3缸,70,95
太原,2017,传祺GS7,1.14,1.8,自动,16.26,12.8,国5,1,1755,4缸,188,92
太原,2019,大众,4.92,2,自动,25.39,19.9,国5,1,1735,4缸,186,95
扬州,2020,丰田C1550HR,0.29,2,自动,17.24,14.8,国6,1,1505,4缸,171,92
平顶,2017,福特,2.71,1.5,自动,11.7,6.06,国5,0,1300,4缸,113,92
昆明,2014,大众POLO,5.1,1.6,自动,12.8,7.1,国5,3,1135,4缸,110,92
盐城,2011,起亚,9.99,1.6,自动,13,3.08,国4,1,1210,4缸,123,92
武汉,2017,宝马1系,6.7,1.5,自动,22.23,12.98,国5,0,1550,3缸,136,95
苏州,2011,现代,9.42,2,自动,19.53,6.28,国4,0,1460,4缸,165,92
宁波,2017,丰田,2.02,1.2,自动,12.79,9.68,国5,1,1300,4缸,116,92
济南,2015,福特,3.52,1.6,自动,13.55,6.5,国5,4,1332,4缸,125,92
石家庄,2019,雪佛兰,6.21,1.5,自动,9.87,6.48,国5,1,1225,4缸,113,92
常州,2018,宝马1系,2.34,1.5,自动,24.51,16.7,国5,1,1380,3缸,136,95
成都,2009,雪佛兰,13.71,1.6,自动,14.43,2.6,国4,5,1400,4缸,117,92
洛阳,2015,大众,5.03,2,自动,20.49,12.5,国5,0,1985,4缸,234,92
温州,2017,本田,1.66,2,自动,30.37,21.98,国5,1,1803,4缸,272,92
常州,2015,大众,8.34,1.4,自动,23.53,13.8,国5,3,1386,4缸,160,95
合肥,2016,中华V3,4.61,1.5,手动,7.46,3.98,国5,1,1325,4缸,112,92
